"id","city_name","county","state","zone_code","zone_name","zone_type","zone_sub_type","single_family_permitted","two_family_permitted","multi_family_permitted","commercial_uses_permitted","short_term_rentals_permitted"
2668,"Chino Hills","San Bernardino","California","PD-5-157","Planned Development","Planned","Planned",NULL,NULL,NULL,NULL,NULL
2668,"Chino Hills","San Bernardino","California","S-L-O","Small Lot Overlay","Overlay","Overlay",NULL,NULL,NULL,NULL,NULL
2668,"Chino Hills","San Bernardino","California","SP-04-01","Specific Plan","Special","Special",NULL,NULL,NULL,NULL,NULL
1549,"Lake Forest","Orange","California","PBR","Portola Bluff Residential","Residential","Multi Family",NULL,NULL,True,NULL,NULL
3350,"Seaside","Monterey","California","OSC","Open Space Conservation","Special","Special",NULL,NULL,NULL,NULL,NULL
2762,"Ocala","Marion","Florida","N-Z","No Zoning","Special","Special",NULL,NULL,NULL,NULL,NULL
3642,"Baker County Unincorporated","Baker","Florida","AG 5","Agricultural District","Agricultural","Agriculture",NULL,NULL,NULL,NULL,NULL
1908,"Placer County Unincorporated","Placer","California","Farm-Development Reserve Special Purpose","Farm-Development Reserve Speci","Agricultural",NULL,NULL,NULL,NULL,NULL,NULL
4417,"Sumter County Unincorporated","Polk","Florida","ID","Industrial","Industrial","Industrial",True,False,False,True,False
812,"Fountain Valley","Orange","California","FCC","Flood Control Channel","Special","Special",NULL,NULL,NULL,NULL,NULL
3327,"Seal Beach","Orange","California","LC/RMD","Limited Commercial Residential Medium Density","Mixed","Mixed Use",True,True,True,True,False
1523,"San Rafael","Marin","California","P/OS-WO-C","Parks Open Space District Wetland Overlay Canalfront Review Overlay","Overlay","Overlay",False,False,False,True,False
1545,"Cypress","Orange","California","PC-9","Wicker Drive","Special","Special",True,False,False,True,False
1545,"Cypress","Orange","California","CG","Commercial General Zone","Commercial","General Commercial",False,False,False,True,False
1549,"Lake Forest","Orange","California","R1","Single Family Residential","Residential","Single Family",True,False,False,True,False
1534,"Marin County Unincorporated","Marin","California","BFC-RMP-3.6","Residential Multiple Planned","Planned","Planned",True,True,True,True,False
1549,"Lake Forest","Orange","California","CF","Community Facility","Commercial","Retail Commercial",NULL,NULL,NULL,True,NULL
1546,"Dana Point","Orange","California","CC/V","Community Commercial Vehicular","Commercial","Special Commercial",True,False,False,True,False
1549,"Lake Forest","Orange","California","HEDR","Heavy Density Residential","Residential","Multi Family",NULL,NULL,True,NULL,NULL
1549,"Lake Forest","Orange","California","NC","Neighborhood Commercial","Commercial","Neighborhood Commercial",NULL,NULL,NULL,True,NULL
1549,"Lake Forest","Orange","California","NP","Neighborhood Park","Commercial","Neighborhood Commercial",NULL,NULL,NULL,True,NULL
2383,"Roseville","Placer","California","CC/RC","Community Commercial Regional Commercial","Commercial","Retail Commercial",True,True,True,True,False
1546,"Dana Point","Orange","California","C/R","Commercial Residential","Mixed","Mixed Use",True,False,True,True,False
1549,"Lake Forest","Orange","California","RR","Rural Residential","Residential","Single Family",True,NULL,NULL,NULL,NULL
1549,"Lake Forest","Orange","California","SAH","Senior Affordable Housing","Special","Special",NULL,NULL,NULL,NULL,NULL
1549,"Lake Forest","Orange","California","ST/ARH","Sky Terraces And Attached Row Houses","Special","Special",NULL,NULL,NULL,NULL,NULL
201,"Fort Worth","Tarrant","Texas","TL-HM","Trinity Lakes Highway Mixed Use","Mixed","Mixed Use",True,False,True,True,True
4431,"Stanislaus County Unincorporated","Santa Clara","California","P-D(132)","Planned Development","Planned","Planned",False,False,False,False,False
816,"La Habra","Orange","California","PC-1/PUD","Planned Commercial Industrial Planned Unit Development","Planned","Planned",False,False,False,True,False
816,"La Habra","Orange","California","SP-1","La Habra Boulevard Specific Plan","Special","Special",True,False,False,True,False
2700,"Rancho Cordova","Sacramento","California","POS(H)","Parks And Open Space","Special","Special",False,False,False,True,False
4341,"Angleton","Brazoria","Texas","C-N","Commercial Neighborhood","Commercial","Neighborhood Commercial",True,False,False,True,False
1550,"La Palma","Orange","California","R-3","Multiple Family Residential","Residential","Multi Family",True,True,True,True,False
2700,"Rancho Cordova","Sacramento","California","POS(SDSP)","Parks And Open Space Sunridge Specific Plan","Planned","Planned",False,False,False,True,False
2700,"Rancho Cordova","Sacramento","California","POS(SCSP)","Parks And Open Space Suncreek Specific Plan","Planned","Planned",False,False,False,True,False
1547,"Laguna Niguel","Orange","California","MU","Mixed Use","Mixed","Mixed Use",True,False,True,True,False
